Unnamed: 0,Molecule Name,SMILES,Mean activity (%),Standard Deviation
0,PCM-0223662,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccc(Br)c(Cl)c3Cl)Cc2c1)C(=O)Nc4cncc5ccccc45,79.7,0.3
2,PCM-0223661,Clc1ccc2[C@@H](CN(CC(=O)Nc3nc4c(Cl)cccc4s3)Cc2c1)C(=O)Nc5cncc6ccccc56,79.1,0.1
4,PCM-0223660,FC(F)(F)c1ccc(CN2CCN(CC2)C(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3)cc1,76.5,0.5
6,PCM-0223659,Clc1ccc2[C@@H](CN(CC(=O)N3CCC(CC3)NC(=O)c4ccccc4)Cc2c1)C(=O)Nc5cncc6ccccc56,70.7,0.3
8,PCM-0223658,COc1cccc(CCNC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c1,24.6,0.5
10,PCM-0223657,Cc1nccn1c2ccc(NC(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3)cc2,16.5,0.3
12,PCM-0223656,Fc1cc(F)c(F)c(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c1F,80.0,0.3
14,PCM-0223655,Clc1ccc2[C@@H](CN(CC(=O)N(C3CCCCC3)C4CCCCC4)Cc2c1)C(=O)Nc5cncc6ccccc56,79.3,0.8
16,PCM-0223654,FC(F)(F)c1ccc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)cc1,80.9,0.2
18,PCM-0223653,CN(C1CCN(C1)C(=O)CN2CC(C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)C(=O)OC(C)(C)C,58.9,0.7
20,PCM-0223652,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccc4nccnc4c3Br)Cc2c1)C(=O)Nc5cncc6ccccc56,50.8,0.6
22,PCM-0223651,FC(F)(F)c1nnc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)s1,79.8,0.2
24,PCM-0223650,NC(=O)c1c2CCCCc2sc1NC(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3,44.3,0.3
26,PCM-0223649,Clc1ccc2[C@@H](CN(CC(=O)N3CCN(CC3)C(=O)c4occc4)Cc2c1)C(=O)Nc5cncc6ccccc56,74.0,1.7
28,PCM-0223648,Clc1ccc2[C@@H](CN(CC(=O)NCc3cccc(Br)c3)Cc2c1)C(=O)Nc4cncc5ccccc45,8.0,0.1
30,PCM-0223647,CNC(=O)c1ccccc1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,71.1,0.5
32,PCM-0223646,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccc(OCc4ccccn4)c(Cl)c3)Cc2c1)C(=O)Nc5cncc6ccccc56,79.7,0.1
34,PCM-0223645,Clc1ccc2[C@@H](CN(CC(=O)N3CCN(CC3)C(=O)OCc4ccccc4)Cc2c1)C(=O)Nc5cncc6ccccc56,87.5,0.2
36,PCM-0223644,CN1N(C(=O)C(=C1C)NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c6ccccc6,20.7,0.6
38,PCM-0223643,Clc1ccc2[C@@H](CN(CC(=O)Nc3ncnc(Cl)c3Cl)Cc2c1)C(=O)Nc4cncc5ccccc45,82.4,0.4
40,PCM-0223642,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccc(cc3)N4CCOCC4=O)Cc2c1)C(=O)Nc5cncc6ccccc56,8.6,0.0
42,PCM-0223641,Clc1ccc2[C@@H](CN(CC(=O)Nc3cccc(Cl)c3C#N)Cc2c1)C(=O)Nc4cncc5ccccc45,79.5,1.3
44,PCM-0223640,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccc4cc(Br)ccc4c3)Cc2c1)C(=O)Nc5cncc6ccccc56,83.3,0.1
46,PCM-0223639,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccc(I)cc3)Cc2c1)C(=O)Nc4cncc5ccccc45,50.9,0.3
48,PCM-0223638,CC(=O)Nc1ccc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)cc1,4.8,0.1
50,PCM-0223637,CN(C)C(=O)CN1CCN(CC1)C(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,66.5,0.5
52,PCM-0223636,Clc1ccc2[C@@H](CN(CC(=O)Nc3cc(Cl)nc(Cl)n3)Cc2c1)C(=O)Nc4cncc5ccccc45,82.3,0.9
54,PCM-0223635,N[C@@H](Cc1ccc(O)cc1)C(=O)NC(=O)CN2CC(C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,17.0,0.5
56,PCM-0223634,Clc1ccc2[C@@H](CN(CC(=O)Nc3cnc(Br)c(Cl)n3)Cc2c1)C(=O)Nc4cncc5ccccc45,81.0,1.1
58,PCM-0223633,CC(C)(C)OC(=O)NC1CN(C1)C(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,62.7,0.0
60,PCM-0223632,[O-][N+](=O)c1ccc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c(Cl)c1,77.7,0.4
