,Molecule Name,SMILES,Mean activity (%),Standard Deviation,Inhibition,rbf_label
5,PCM-0223657,Cc1nccn1c2ccc(NC(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3)cc2,16.5,0.3,83.5,FN
7,PCM-0223655,Clc1ccc2[C@@H](CN(CC(=O)N(C3CCCCC3)C4CCCCC4)Cc2c1)C(=O)Nc5cncc6ccccc56,79.3,0.8,20.700000000000003,FP
8,PCM-0223654,FC(F)(F)c1ccc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)cc1,80.9,0.2,19.099999999999994,FP
10,PCM-0223652,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccc4nccnc4c3Br)Cc2c1)C(=O)Nc5cncc6ccccc56,50.8,0.6,49.2,FN
12,PCM-0223650,NC(=O)c1c2CCCCc2sc1NC(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3,44.3,0.3,55.7,FN
14,PCM-0223648,Clc1ccc2[C@@H](CN(CC(=O)NCc3cccc(Br)c3)Cc2c1)C(=O)Nc4cncc5ccccc45,8.0,0.1,92.0,FN
18,PCM-0223644,CN1N(C(=O)C(=C1C)NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c6ccccc6,20.7,0.6,79.3,FN
20,PCM-0223642,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccc(cc3)N4CCOCC4=O)Cc2c1)C(=O)Nc5cncc6ccccc56,8.6,0.0,91.4,FN
22,PCM-0223640,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccc4cc(Br)ccc4c3)Cc2c1)C(=O)Nc5cncc6ccccc56,83.3,0.1,16.700000000000003,FP
27,PCM-0223635,N[C@@H](Cc1ccc(O)cc1)C(=O)NC(=O)CN2CC(C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,17.0,0.5,83.0,FN
33,PCM-0223629,CN(Cc1ccccc1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)C6CCCCC6,36.1,0.8,63.9,FN
